2024.5.10,我们天上见（2009）,华语,蒋雯丽,,,
2024.5.4,战争花园（1969）,拉美,Neville de Almeida,,,
2024.4.29,天国还很遥远（2016）,日影/短片/电波,滨口龙介,,,
2024.4.20,巴黎浮世绘（2000）,欧美,Michael Haneke,,,
2024.4.20,赤裸童年（1968）,欧美,Maurice Pialat,,,
2024.4.12,蔷薇的葬礼（1969）,日影/酷儿/影史经典/实验,松本俊夫,,,
2024.4.12,东方三侠（1993）,华语,杜琪峰/邵丽琼,,,
2024.4.7,安东尼娅家族（1995）,欧美/女性,Marleen Gorris,,,
2024.4.6,草迷宫（1979）,日影/奇观影像/短片,寺山修司,,,
2024.4.6,女囚701号-蝎子（1972）,日影/奇观影像,伊藤俊也/篠原とおる,,,
2024.3.31,顺流逆流（2000）,华语,徐克,,,
2024.3.29,机器人之梦（2023）,欧美/动画,Pablo Berger,,,
2024.3.28,女伶们（1968）,欧美/女性,Mai Zetterling,,,
2024.3.23,潘神的迷宫（2006）,拉美/影史经典,Guillermo del Toro,,,
2024.3.17,特沃塔和我（1993）,欧美,Patricia Mazuy,,,
2024.3.8,漫画家之路（2001）,欧美/喜剧/奇观影像,Tom Green,,,
2024.3.8,铲车司机克劳斯—第一个工作日（2000）,欧美/奇观影像/喜剧/短片,Stefan Prehn/Jörg Wagner,,,
2024.3.2,梁祝（1994）,华语,徐克,,,
2024.3.2,野玫瑰之恋（1960）,华语,王天林/秦羽,,,
2024.3.2,四月三周两天（2007）,东欧苏俄/影史经典,Cristian Mungiu,,,
2024.2.14,东黑斯廷斯药房（2012）,欧美/短片,Antoine Bourges,,,
2024.2.14,恐怖歌剧（1987）,欧美/惊悚/奇观影像,Dario Argento,,,
2024.2.2,活死人之夜（1968）,欧美/惊悚/影史经典,George A. Romero,,,
2024.2.1,一个唱，一个不唱（1977）,欧美/女性,Agnès Varda,,,
2024.1.26,崩溃边缘的女人（1988）,欧美/喜剧,Pedro Almodóvar,,,
2024.1.26,银河铁道之夜（1985）,INFP影像/日影/动画,杉井仪三郎/宫泽贤治,,,
2024.1.21,他的摩托，她的岛（1986）,INFP影像/日影,大林宣彦,,,
2024.1.20,青蛇（1993）,华语/奇观影像,徐克,,,
2024.1.20,刀马旦（1986）,华语/奇观影像,徐克,,,
2024.1.20,致胜法门（1991）,欧美/短片,Hal Hartley,guest,,
2024.1.20,快盗鲁比（1988）,日影,和田诚,,,
2024.1.3,饲养乌鸦（1976）,欧美,Carlos Saura,,,
2024.1.1,梦幻银河（1997）,INFP影像/日影/电波,石井岳龙,,,
2024.1.1,对不起，我们错过了你（2019）,欧美/左翼,Ken Loach/Paul Laverty,guest,,
2023.12.28,脑髓地狱（1988）,日影,松本俊夫,guest,,
2023.12.23,史楚锡流浪记（1977）,欧美,Werner Herzog,guest,,
2023.12.10,冰血暴（1996）,欧美,Coen brothers,guest,,
2023.11.21,神呀神！你为何离弃我？（2005）,日影,青山真治,guest,,
2023.11.19,鲜杀（1994）,欧美/实验,Shu Lea Cheang/Jessica Hagedorn,纽约,,
2023.11.7,夏天 Лето (2021),东欧苏俄/实验,Vadim Kostrov,guest,,
2023.10.7,式日（2000）,INFP影像/日影/电波,庵野秀明,,,
2023.9.24,迷雾中的她（上）（2022）,拉美,Laura Citarella ,无LB单独条目,,
2023.8.28,惠子，凝视（2022）,日影,三宅唱,guest,,
2023.8.13,水中八月（1995）,INFP影像/日影/电波,石井岳龙,,,
